review_id,product_id,customer_id,rating,review_text,review_date
1,15,92,5,"Works perfectly, very happy.",2022-01-13
2,85,77,5,"Works perfectly, very happy.",2023-12-26
3,90,228,1,Not satisfied with the quality.,2023-01-17
4,3,26,4,Exceeded my expectations.,2024-06-01
5,22,136,4,Great value for money.,2022-11-11
6,125,2,4,"Excellent quality, highly recommend!",2022-11-15
7,121,102,3,Average quality for the price.,2024-02-06
8,110,229,3,"Not bad, could be better.",2023-01-09
9,28,113,5,Exceeded my expectations.,2024-06-18
10,91,192,2,Broke after a week of use.,2024-06-07
11,182,51,1,Doesn't match the description.,2022-08-15
12,11,35,2,Doesn't match the description.,2024-03-19
13,9,42,4,Exceeded my expectations.,2023-02-12
14,31,108,4,Exceeded my expectations.,2024-09-28
15,175,183,5,"Works perfectly, very happy.",2022-09-18
16,129,186,3,Decent product overall.,2024-03-07
17,28,203,2,Not satisfied with the quality.,2022-02-13
18,89,129,2,Broke after a week of use.,2022-01-28
19,174,213,2,Not satisfied with the quality.,2023-12-02
20,189,3,4,Fast delivery and great product.,2024-06-08
21,73,125,4,Exceeded my expectations.,2022-06-19
22,159,40,4,Great value for money.,2024-11-13
23,72,197,2,Broke after a week of use.,2022-08-24
24,171,211,3,Average quality for the price.,2024-05-28
25,181,201,2,"Poor packaging, item was damaged.",2022-07-31
26,47,49,5,Fast delivery and great product.,2022-11-01
27,34,103,2,Not satisfied with the quality.,2022-03-20
28,38,110,3,Average quality for the price.,2022-02-06
29,24,222,5,Great value for money.,2022-04-15
30,135,79,4,"Works perfectly, very happy.",2023-04-19
31,110,123,2,Doesn't match the description.,2022-05-06
32,165,14,5,"Works perfectly, very happy.",2023-09-16
33,94,72,1,Doesn't match the description.,2023-12-20
34,82,230,4,Great value for money.,2022-04-08
35,1,14,2,Not satisfied with the quality.,2023-10-21
36,121,72,2,Doesn't match the description.,2022-07-26
37,65,243,4,Great value for money.,2024-10-03
38,78,29,3,"Not bad, could be better.",2022-07-18
39,85,93,1,Broke after a week of use.,2024-01-11
40,155,96,5,Fast delivery and great product.,2023-05-03
41,150,99,3,Average quality for the price.,2022-06-28
42,162,191,1,Broke after a week of use.,2022-09-04
43,50,181,1,Broke after a week of use.,2024-07-01
44,140,159,1,Not satisfied with the quality.,2023-12-04
45,195,52,3,Decent product overall.,2022-11-11
46,50,108,1,Broke after a week of use.,2023-06-02
47,94,115,5,Exceeded my expectations.,2022-08-29
48,124,108,4,"Excellent quality, highly recommend!",2024-10-28
49,154,71,1,Broke after a week of use.,2022-09-22
50,145,16,3,"It's okay, does the job.",2023-01-25
51,176,137,4,"Works perfectly, very happy.",2022-06-03
52,193,131,2,"Poor packaging, item was damaged.",2024-02-26
53,103,156,5,"Works perfectly, very happy.",2023-07-11
54,1,41,2,Broke after a week of use.,2023-03-23
55,132,117,5,"Excellent quality, highly recommend!",2024-10-28
56,78,219,5,Exceeded my expectations.,2023-03-28
